  QueueTimes | ServiceTimes | SojournTimes

     178.847 |        0.486 |      179.333
     179.018 |        0.483 |      179.501
     178.800 |        0.485 |      179.285
     178.896 |        0.497 |      179.393
     178.360 |        0.494 |      178.853
     178.631 |        0.528 |      179.159
     179.062 |        0.512 |      179.574
     176.464 |        0.513 |      176.977
     176.647 |        0.539 |      177.186
     175.550 |        0.538 |      176.088
     175.814 |        0.560 |      176.374
     175.938 |        0.537 |      176.475
     175.974 |        0.520 |      176.494
     176.385 |        0.480 |      176.865
     176.035 |        0.465 |      176.500
     175.812 |        0.464 |      176.276
     170.308 |        0.464 |      170.772
     165.219 |        0.493 |      165.711
     163.435 |        0.478 |      163.913
     162.118 |        0.488 |      162.606
     161.453 |        0.475 |      161.928
     159.163 |        0.466 |      159.629
     158.289 |        0.494 |      158.783
     156.966 |        0.533 |      157.499
     155.122 |        0.550 |      155.671
     155.362 |        0.542 |      155.903
     153.360 |        0.541 |      153.901
     153.265 |        0.549 |      153.813
     150.620 |        0.477 |      151.097
     150.411 |        0.473 |      150.883
     150.627 |        0.503 |      151.130
     148.630 |        0.474 |      149.104
     148.903 |        0.524 |      149.427
     149.110 |        0.479 |      149.589
     149.313 |        0.464 |      149.777
     149.416 |        0.463 |      149.879
     148.311 |        0.474 |      148.786
     148.595 |        0.483 |      149.079
     148.800 |        0.473 |      149.273
     146.689 |        0.472 |      147.161
     144.839 |        0.477 |      145.316
     144.787 |        0.487 |      145.274
     143.463 |        0.472 |      143.936
     143.731 |        0.542 |      144.273
     143.856 |        0.548 |      144.403
     142.473 |        0.537 |      143.009
     137.142 |        0.546 |      137.688
     134.705 |        0.463 |      135.169
     134.762 |        0.463 |      135.225
     130.312 |        0.463 |      130.775
     128.504 |        0.463 |      128.968
     128.311 |        0.523 |      128.834
     127.406 |        0.495 |      127.900
     127.585 |        0.510 |      128.095
     127.540 |        0.472 |      128.012
     127.096 |        0.461 |      127.557
     125.072 |        0.460 |      125.532
     125.491 |        0.460 |      125.950
     125.481 |        0.492 |      125.972
     123.902 |        0.489 |      124.391
     123.291 |        0.503 |      123.794
     120.785 |        0.500 |      121.285
     121.367 |        0.543 |      121.910
     118.139 |        0.536 |      118.675
     116.447 |        0.628 |      117.075
     116.924 |        0.981 |      117.905
     117.560 |        0.484 |      118.043
     117.970 |        0.465 |      118.435
     117.378 |        0.475 |      117.854
     116.408 |        0.466 |      116.873
     114.248 |        0.502 |      114.749
     112.907 |        0.499 |      113.406
