  QueueTimes | ServiceTimes | SojournTimes

    1415.983 |        0.403 |     1416.386
    1416.596 |        0.412 |     1417.008
    1417.253 |        0.420 |     1417.672
    1416.107 |        0.424 |     1416.531
    1413.557 |        0.453 |     1414.010
    1413.394 |        0.405 |     1413.798
    1413.387 |        0.402 |     1413.788
    1412.522 |        0.426 |     1412.948
    1413.333 |        0.466 |     1413.798
    1414.159 |        0.436 |     1414.594
    1414.691 |        0.404 |     1415.096
    1415.150 |        0.411 |     1415.561
    1413.780 |        0.432 |     1414.212
    1414.180 |        0.456 |     1414.637
    1413.903 |        0.451 |     1414.354
    1413.396 |        0.435 |     1413.831
    1414.006 |        0.406 |     1414.411
    1413.719 |        0.417 |     1414.136
    1414.083 |        0.462 |     1414.545
    1412.625 |        0.487 |     1413.112
    1413.409 |        0.435 |     1413.844
    1413.618 |        0.422 |     1414.040
    1412.207 |        0.436 |     1412.643
    1412.958 |        0.430 |     1413.387
    1413.021 |        0.462 |     1413.483
    1413.566 |        0.412 |     1413.978
    1413.545 |        0.395 |     1413.940
    1414.107 |        0.410 |     1414.517
    1413.022 |        0.482 |     1413.504
    1410.463 |        0.481 |     1410.944
    1410.603 |        0.491 |     1411.093
    1411.175 |        0.410 |     1411.584
    1411.622 |        0.428 |     1412.050
    1410.507 |        0.447 |     1410.954
    1410.761 |        0.424 |     1411.185
    1408.492 |        0.425 |     1408.916
    1409.181 |        0.411 |     1409.592
    1408.491 |        0.411 |     1408.902
    1409.176 |        0.456 |     1409.632
    1409.639 |        0.442 |     1410.081
    1409.018 |        0.406 |     1409.424
    1408.355 |        0.437 |     1408.792
    1409.086 |        0.429 |     1409.515
    1409.533 |        0.427 |     1409.960
    1409.857 |        0.416 |     1410.273
    1409.304 |        0.410 |     1409.714
    1409.896 |        0.411 |     1410.307
    1410.186 |        0.412 |     1410.598
    1410.515 |        0.425 |     1410.940
    1410.500 |        0.462 |     1410.962
    1404.922 |        0.488 |     1405.409
    1404.087 |        0.506 |     1404.593
    1404.430 |        0.468 |     1404.897
    1404.803 |        0.458 |     1405.261
    1405.653 |        0.462 |     1406.115
    1404.617 |        0.428 |     1405.045
    1405.226 |        0.499 |     1405.725
    1405.895 |        0.551 |     1406.446
    1406.018 |        0.552 |     1406.569
    1406.404 |        0.475 |     1406.879
    1406.903 |        0.451 |     1407.354
    1407.232 |        0.519 |     1407.751
    1407.346 |        0.502 |     1407.848
    1407.990 |        0.540 |     1408.531
    1408.719 |        0.518 |     1409.237
    1409.044 |        0.440 |     1409.484
    1409.860 |        0.489 |     1410.349
    1409.084 |        0.474 |     1409.558
    1409.079 |        0.427 |     1409.506
    1409.511 |        0.459 |     1409.970
    1410.190 |        0.482 |     1410.673
    1411.076 |        0.497 |     1411.574
    1410.625 |        0.498 |     1411.123
    1411.068 |        0.466 |     1411.534
    1410.927 |        0.434 |     1411.361
    1411.266 |        0.479 |     1411.745
    1410.965 |        0.500 |     1411.465
    1411.799 |        0.453 |     1412.252
    1411.676 |        0.435 |     1412.111
    1412.098 |        0.462 |     1412.560
    1412.497 |        0.513 |     1413.009
    1412.655 |        0.507 |     1413.162
    1412.023 |        0.561 |     1412.584
    1412.840 |        0.488 |     1413.328
    1412.645 |        0.491 |     1413.136
    1412.255 |        0.454 |     1412.709
    1412.893 |        0.409 |     1413.302
    1413.610 |        0.442 |     1414.052
    1411.340 |        0.540 |     1411.880
    1411.457 |        0.489 |     1411.946
    1410.823 |        0.420 |     1411.243
    1409.433 |        0.419 |     1409.852
