  QueueTimes | ServiceTimes | SojournTimes

     635.803 |        1.748 |      637.551
     634.715 |        0.907 |      635.622
     635.017 |        1.693 |      636.710
     629.981 |        2.820 |      632.801
     630.536 |        1.364 |      631.900
     631.674 |        1.020 |      632.693
     631.133 |        0.745 |      631.879
     629.649 |        1.234 |      630.883
     629.762 |        2.890 |      632.652
     632.409 |        2.898 |      635.307
     635.396 |        1.919 |      637.315
     634.153 |        1.756 |      635.909
     634.364 |        1.457 |      635.821
     634.219 |        1.779 |      635.997
     633.503 |        2.042 |      635.546
     634.235 |        1.845 |      636.080
     634.911 |        1.270 |      636.181
     634.543 |        2.548 |      637.091
     634.625 |        2.127 |      636.752
     636.024 |        1.177 |      637.202
     637.253 |        1.178 |      638.431
     635.715 |        4.530 |      640.245
     639.312 |        4.053 |      643.366
     643.159 |        4.094 |      647.252
     647.309 |        1.085 |      648.394
     648.142 |        2.961 |      651.103
     645.354 |        0.808 |      646.162
     642.857 |        0.931 |      643.788
     643.105 |        1.147 |      644.252
     640.775 |        0.736 |      641.511
     640.472 |        2.882 |      643.353
     643.358 |        2.399 |      645.757
     643.816 |        1.115 |      644.930
     644.590 |        2.543 |      647.133
     644.932 |        1.339 |      646.271
     645.490 |        2.622 |      648.112
     647.982 |        1.013 |      648.995
     645.773 |        5.423 |      651.197
     649.776 |        2.649 |      652.426
     649.921 |        3.345 |      653.266
     651.806 |        7.315 |      659.121
     656.799 |        2.110 |      658.909
     656.486 |        3.501 |      659.987
     657.687 |        1.169 |      658.856
     658.036 |        1.119 |      659.155
     658.891 |        1.893 |      660.784
     660.202 |        1.397 |      661.600
     659.334 |        2.986 |      662.320
     661.118 |        0.380 |      661.498
     661.246 |        1.717 |      662.963
     662.574 |        2.189 |      664.763
     663.407 |        7.108 |      670.515
     669.832 |        1.059 |      670.891
     668.790 |        1.002 |      669.791
     668.118 |        1.745 |      669.863
     666.567 |        6.368 |      672.936
     672.976 |        4.211 |      677.187
     677.033 |        4.017 |      681.050
     677.318 |        6.437 |      683.756
     683.855 |        5.504 |      689.359
     688.860 |        1.214 |      690.074
     690.008 |        1.700 |      691.708
     688.803 |        0.831 |      689.634
     686.584 |        1.249 |      687.834
     687.942 |        3.380 |      691.322
     689.499 |        2.027 |      691.527
     690.913 |        2.780 |      693.693
     693.054 |        1.493 |      694.547
     691.314 |        6.036 |      697.350
     694.813 |        1.007 |      695.820
     695.676 |        1.101 |      696.776
     696.161 |        2.192 |      698.353
